site,job_url,job_url_direct,title,company,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,emails,description,company_url,company_url_direct,company_addresses,company_industry,company_num_employees,company_revenue,company_description,logo_photo_url,banner_photo_url,ceo_name,ceo_photo_url
indeed,https://uk.indeed.com/viewjob?jk=16ddb26092d068c1,https://www.eamesconsulting.com/job/senior-java-software-engineer,Senior Java Software Engineer,Eames Consulting Group,"London, ENG, GB",,2024-04-09,,,,,False,,"#### **Job Details**


* **Sector:** Software Engineering
* **Location:** City of London
* **Job Ref:** 24568\_1712650347
* **Job Type:** Permanent
* **Salary:** Negotiable
* **Contact:** Imogen Redwood
#### **Job Description**


Senior Java Engineer


Hybrid - London




Eames consulting are delighted to be working with an established bank that are on the lookout for an experienced Senior Java Engineer to join the evolving team where you will be designing and developing high performing scalable Java systems.




**Key Responsibilities:**

* Design and develop robust, scalable, and maintainable Java-based applications.
* Collaborate with product management and development teams to define and implement technical solutions that meet business objectives.
* Write clean, efficient, and well-documented code following best practices and design patterns.
* Conduct code reviews to ensure code quality and adherence to coding standards.
* Identify and address performance bottlenecks and other technical issues.
* Troubleshoot and debug complex software problems and provide timely solutions.
* Stay up-to-date with the latest industry trends and technologies, and propose innovative solutions to enhance product performance and user experience.
* Mentor junior team members and contribute to the continuous improvement of the development process.




**Requirements:**

* Bachelor's degree in Computer Science, Engineering, or a related field.
* 5+ years of professional experience in Java software development.
* Strong proficiency in Java, with a good understanding of its ecosystem.
* Experience with Spring Framework (Spring Boot, Spring MVC, Spring Security, etc.) and Hibernate.
* Proficiency in web technologies such as HTML, CSS, JavaScript, and AJAX.
* Experience with relational databases (MySQL, PostgreSQL, etc.) and NoSQL databases (MongoDB, Redis, etc.).
* Familiarity with build tools such as Maven or Gradle.
* Solid understanding of software development methodologies (Agile, Scrum, etc.).
* Excellent problem-solving skills and attention to detail.
* Strong communication and teamwork skills.




Eames Consulting is acting as an Employment Agency in relation to this vacancy.",https://uk.indeed.com/cmp/Eames-Consulting-Group,https://www.eames-group.com/,"12 Moorgate, London, EC2R 6DA", Consulting And Business Services,51 to 200,$25M to $100M (USD),"We are Opportunity Makers. We're a global family of 3 non-competing recruitment, search & consultancy brands. #TeamEames",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/0ce9a06a21dbaa06cac6319c20e0b1ad,https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/91a4385d7d829e768e4efb53b2813d5b,Matthew Eames,https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/d45c1cd35ae078ea8782baddb4f947eb
indeed,https://uk.indeed.com/viewjob?jk=725c874f5f4b9837,https://careers.google.com/jobs/results/86748301233136326-senior-developer-relations-engineer/,"Senior Developer Relations Engineer, Privacy Sandbox",Google,"London, ENG, GB",,2024-04-08,,,,,False,,"### **Minimum qualifications:**

* Bachelor's degree in Computer Science, a similar technical field, or equivalent practical experience.
* Candidates will typically have 5 years of experience in a technical role (e.g., software engineering, solutions consultant, etc.) or equivalent technical experience.

  

### **Preferred qualifications:**

* Ability to take ownership of solutions and exert influence without authority.

**About the job**
-----------------


Passionate people are everywhere at Google. In Developer Relations, we get excited to collaborate and connect with the communities that love technology as much as we do. Part community manager and part developer advocate, Developer Programs Engineers collaborate with developers at conferences and online, and advocate for developers interests internally at Google. Not afraid to be team player, you write sample code and client libraries as well as participate in developer forums and support queues to troubleshoot and debug coding problems developers encounter. Internally, you work with product engineering teams improve our products by conveying feedback from developers, reviewing API designs and testing new features. Chrome, Android, App Engine, HTML5 as well as our core Apps and Ads APIs are just some of the platforms you promote and support.  

  

With your technical expertise, you drive strategy around fostering a community of developers who work with Google technologies. An ardent advocate for these developers, you represent their voice internally to our Product Managers and serve as their Google support in application development and technology implementation.



The Platforms and Ecosystems product area encompasses Google's various computing software platforms across environments (desktop, mobile, applications). The products provide enterprises, and ultimately end users, the ability to utilize and manage their services at scale. We build innovative and compelling software products—from apps to TVs, from laptops to phones—that have an impact on people’s lives across the world.

**Responsibilities**
--------------------

* Collaborate with cross-functional teams to manage product engagement and identify user needs.
* Attend or facilitate conferences and events to gain and share insights on user experience and technologies.
* Lead strategic developer programs and act as an authority in the domain.
* Contribute input and feedback on products or programs, and represent the interests of partners to internal stakeholders.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",https://uk.indeed.com/cmp/Google,http://goo.gle/3ygdkgv,"Mountain View, CA",,"10,000+",more than $10B (USD),Our mission is to organize the world’s information and make it universally accessible and useful. ,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/fff4be3829cee39e477a518f55475f44,https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/56b1f27b69e0e2c02b8e9ad6e5fce05f,Sundar Pichai,https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/417a5815642490eb9a47ed7970a26c97
indeed,https://uk.indeed.com/viewjob?jk=08cd49fcafb928e7,https://careers.google.com/jobs/results/75554242070225606-software-engineer/,"Software Engineer, Tensor Processing Units Compiler",Google,"London, ENG, GB",,2024-04-08,,,,,False,,"### **Minimum qualifications:**

* Bachelor’s degree or equivalent practical experience.
* Candidates will typically have 3 years of experience testing, maintaining, or launching software products, and 1 year of experience with software design and architecture.
* Typically have 2 years of experience working with CUDA C++ application development and 1 year of experience with Native Code, Just-In-Time (JIT), Cross, Source-to-Source or any other type of compilers.
* Typically have 2 years of experience with data structures or algorithms, with experience with machine learning algorithms and tools (e.g. TensorFlow), artificial intelligence, deep learning, or natural language processing.

  

### **Preferred qualifications:**

* Master's degree or PhD in Computer Science or related technical fields.
* Experience with debugging correctness and performance issues at all levels of the stack.
* Experience with performance, large-scale systems data analysis, visualization tools, and/or debugging.
* Experience with optimizations in mid-level and low-level architecture.
* Experience with hardware/software co-design.
* GPU experience integrating low-level CUDA work into higher-level frameworks (TF, JAX, PyTorch).

**About the job**
-----------------


Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.



Our team builds the compiler which enables Tensor Processing Units (TPUs), Google's in-house custom designed processor, to accelerate machine learning and other scientific computing workloads for both internal Google customers and external Cloud customers. The team offers opportunities up and down the compiler stack, working on Low Level Virtual Machine as well as the Multi-Level Intermediate Representation middle-end.  

  

In this role, you'll be working on the MLIR/LLVM based TPU compiler for TPUs. You will support new workloads, optimize for new models and new characteristics, as well as support new TPU hardware across multiple generations.


Google Cloud accelerates organizations’ ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology – all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.

**Responsibilities**
--------------------

* Contribute to a compiler for a novel processor designed to accelerate machine learning workloads. Target and compile high-performance implementations of operations at a distributed scale.
* Work closely with users of TPUs to improve performance/efficiency and hardware designers to co-design future processors.
* Investigating high-level representations to effectively program large-scale, distributed, and hetereogeneous systems.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",https://uk.indeed.com/cmp/Google,http://goo.gle/3ygdkgv,"Mountain View, CA",,"10,000+",more than $10B (USD),Our mission is to organize the world’s information and make it universally accessible and useful. ,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/fff4be3829cee39e477a518f55475f44,https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/56b1f27b69e0e2c02b8e9ad6e5fce05f,Sundar Pichai,https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/417a5815642490eb9a47ed7970a26c97
site,job_url,job_url_direct,title,company,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,emails,description,company_url,company_url_direct,company_addresses,company_industry,company_num_employees,company_revenue,company_description,logo_photo_url,banner_photo_url,ceo_name,ceo_photo_url
indeed,https://uk.indeed.com/viewjob?jk=7b9d67f79e536098,https://www.client-server.com/job/full-stack-developer-f-c-net-typescript-1,Full Stack Developer F# C# .Net TypeScript,Client Server,"London, ENG, GB",,2024-04-09,,,,,True,,"Full Stack Developer / Engineer (F# C# .Net TypeScript React) London to £140k+
  
Do you have expertise with .Net, enjoy working with a range of range of programming languages across the full tech stack?
  
You could be working on complex and interesting real-time systematic trading systems, with complex problem solving and continual learning and self-development opportunities at a Swiss based Asset Manager that is expanding its UK presence and tech team.
  
As a Full Stack Developer you'll be designing and developing new capabilities in trading, data and research, collaborating as part of a small team where your contributions will have a real impact. You'll be using F# within a .Net environment along with TypeScript and React on the client side, to expand the company's trade execution platform with new instruments and venues, developing new trading capabilities, all the technology is proprietary with a focus on writing computational, efficient low latency code.
  
  

**Location / WFH:**  

You'll join accomplished colleagues in the London office with flexibility to work from home one day a week (there are also flexible start and finish times).
  
  

**About you:**  

You have software engineering expertise, with an advanced knowledge of C# .Net, ideally with F# experience and happy to use this going forward
  
You also have front end development skills with JavaScript, TypeScript and React.js
  
You have a thorough understanding of Computer Science fundamentals such as OOP, Data Structures, Design Patterns, Algorithms
  
You're degree educated in Computer Science or other relevant discipline, having gained a 2.1 or above from a top tier university
  
  

**What's in it for you:**  

**As a Full Stack Developer you will earn a competitive package:**
  
Salary to £140k
  
Bonus (c25%), discretionary
  
26 days holiday (in addition to Bank Holidays)
  
Pension
  
Interesting work with autonomy and excellent career growth opportunities as the company scales
  
Apply now to find out more about this Full Stack Developer / Engineer (F# C# .Net TypeScript React) opportunity.
  
At Client Server we believe in a diverse workplace that allows people to play to their strengths and continually learn. We're an equal opportunities employer whose people come from all walks of life and will never discriminate based on race, colour, religion, sex, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. The clients we work with share our values.",https://uk.indeed.com/cmp/Client-Server-1,https://www.client-server.com/,"London, England",,51 to 200,Decline to state,Client Server is the leading technology recruitment consultancy.,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/8e2ee917568035e9b81e77e848828077,https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/32a45f6f960432232501a9bfdf9a2b68,Nick Boulton,https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/4b58d8afb484dc1fcaebc6cdbc6afd80
indeed,https://uk.indeed.com/viewjob?jk=08488b3f4ba1e119,https://www.client-server.com/job/software-developer-c-python-buy-side-2,Software Developer C++ Python - Buy Side,Client Server,"London, ENG, GB",,2024-04-09,,,,,True,,"Software Developer / Engineer (Quantitative C++ Python Linux) London / WFH to £160k
  
Do you have expertise with C++ / Python backend development? You could be progressing your career working on complex, real-time systems at a global Hedge Fund in a senior, hands-on role with continual learning, development and problem solving opportunities.
  
As a Software Developer you'll collaborate with a small engineering team and with Portfolio Managers to build, operate and evolve the technical stack; you'll be developing modular systems to tackle a range of challenges such as data pipelines, intraday signal research tools, high frequency trading and back-testing, real-time market data systems, monitoring systems as well as data storage, times series data and event correlation.
  
You'll work across the full development lifecycle, from requirements analysis through to solution delivery; there's lots of problem solving within a fast paced environment.
  
  

**Location / WFH:**  

You'll join a highly talented team in the London office three days a week with flexibility to work from home the other two days.
  
  

**Requirements:**  

You have expertise with C++ and are fluent with Python
  
You have experience of designing and developing research and live trading infrastructure at a buy-side firm (i.e. Hedge Fund or trading company), including experience in Futures and FX
  
You have a strong knowledge of Linux OS / Systems Administration
  
You have a good understanding of computer architecture, databases, real-time systems, distributed computing, OOP, Data Structures, Design Patterns, Algorithms
  
You're collaborative with excellent English language communication skills
  
You are degree educated, likely to MSc / PhD level - Computer Science or similar discipline
  
  

**Salary & benefits:**  

As a Software Developer / Engineer you will earn a competitive salary (to £160k) plus significant bonus and benefits package (c100%).
  
Apply now to find out more about this Software Developer / Engineer (Quantitative C++ Python Linux) opportunity.
  
At Client Server we believe in a diverse workplace that allows people to play to their strengths and continually learn. We're an equal opportunities employer whose people come from all walks of life and will never discriminate based on race, colour, religion, sex, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. The clients we work with share our values.",https://uk.indeed.com/cmp/Client-Server-1,https://www.client-server.com/,"London, England",,51 to 200,Decline to state,Client Server is the leading technology recruitment consultancy.,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/8e2ee917568035e9b81e77e848828077,https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/32a45f6f960432232501a9bfdf9a2b68,Nick Boulton,https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/4b58d8afb484dc1fcaebc6cdbc6afd80
indeed,https://uk.indeed.com/viewjob?jk=16ddb26092d068c1,https://www.eamesconsulting.com/job/senior-java-software-engineer,Senior Java Software Engineer,Eames Consulting Group,"London, ENG, GB",,2024-04-09,,,,,False,,"#### **Job Details**


* **Sector:** Software Engineering
* **Location:** City of London
* **Job Ref:** 24568\_1712650347
* **Job Type:** Permanent
* **Salary:** Negotiable
* **Contact:** Imogen Redwood
#### **Job Description**


Senior Java Engineer


Hybrid - London




Eames consulting are delighted to be working with an established bank that are on the lookout for an experienced Senior Java Engineer to join the evolving team where you will be designing and developing high performing scalable Java systems.




**Key Responsibilities:**

* Design and develop robust, scalable, and maintainable Java-based applications.
* Collaborate with product management and development teams to define and implement technical solutions that meet business objectives.
* Write clean, efficient, and well-documented code following best practices and design patterns.
* Conduct code reviews to ensure code quality and adherence to coding standards.
* Identify and address performance bottlenecks and other technical issues.
* Troubleshoot and debug complex software problems and provide timely solutions.
* Stay up-to-date with the latest industry trends and technologies, and propose innovative solutions to enhance product performance and user experience.
* Mentor junior team members and contribute to the continuous improvement of the development process.




**Requirements:**

* Bachelor's degree in Computer Science, Engineering, or a related field.
* 5+ years of professional experience in Java software development.
* Strong proficiency in Java, with a good understanding of its ecosystem.
* Experience with Spring Framework (Spring Boot, Spring MVC, Spring Security, etc.) and Hibernate.
* Proficiency in web technologies such as HTML, CSS, JavaScript, and AJAX.
* Experience with relational databases (MySQL, PostgreSQL, etc.) and NoSQL databases (MongoDB, Redis, etc.).
* Familiarity with build tools such as Maven or Gradle.
* Solid understanding of software development methodologies (Agile, Scrum, etc.).
* Excellent problem-solving skills and attention to detail.
* Strong communication and teamwork skills.




Eames Consulting is acting as an Employment Agency in relation to this vacancy.",https://uk.indeed.com/cmp/Eames-Consulting-Group,https://www.eames-group.com/,"12 Moorgate, London, EC2R 6DA", Consulting And Business Services,51 to 200,$25M to $100M (USD),"We are Opportunity Makers. We're a global family of 3 non-competing recruitment, search & consultancy brands. #TeamEames",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/0ce9a06a21dbaa06cac6319c20e0b1ad,https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/91a4385d7d829e768e4efb53b2813d5b,Matthew Eames,https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/d45c1cd35ae078ea8782baddb4f947eb
indeed,https://uk.indeed.com/viewjob?jk=725c874f5f4b9837,https://careers.google.com/jobs/results/86748301233136326-senior-developer-relations-engineer/,"Senior Developer Relations Engineer, Privacy Sandbox",Google,"London, ENG, GB",,2024-04-08,,,,,False,,"### **Minimum qualifications:**

* Bachelor's degree in Computer Science, a similar technical field, or equivalent practical experience.
* Candidates will typically have 5 years of experience in a technical role (e.g., software engineering, solutions consultant, etc.) or equivalent technical experience.

  

### **Preferred qualifications:**

* Ability to take ownership of solutions and exert influence without authority.

**About the job**
-----------------


Passionate people are everywhere at Google. In Developer Relations, we get excited to collaborate and connect with the communities that love technology as much as we do. Part community manager and part developer advocate, Developer Programs Engineers collaborate with developers at conferences and online, and advocate for developers interests internally at Google. Not afraid to be team player, you write sample code and client libraries as well as participate in developer forums and support queues to troubleshoot and debug coding problems developers encounter. Internally, you work with product engineering teams improve our products by conveying feedback from developers, reviewing API designs and testing new features. Chrome, Android, App Engine, HTML5 as well as our core Apps and Ads APIs are just some of the platforms you promote and support.  

  

With your technical expertise, you drive strategy around fostering a community of developers who work with Google technologies. An ardent advocate for these developers, you represent their voice internally to our Product Managers and serve as their Google support in application development and technology implementation.



The Platforms and Ecosystems product area encompasses Google's various computing software platforms across environments (desktop, mobile, applications). The products provide enterprises, and ultimately end users, the ability to utilize and manage their services at scale. We build innovative and compelling software products—from apps to TVs, from laptops to phones—that have an impact on people’s lives across the world.

**Responsibilities**
--------------------

* Collaborate with cross-functional teams to manage product engagement and identify user needs.
* Attend or facilitate conferences and events to gain and share insights on user experience and technologies.
* Lead strategic developer programs and act as an authority in the domain.
* Contribute input and feedback on products or programs, and represent the interests of partners to internal stakeholders.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",https://uk.indeed.com/cmp/Google,http://goo.gle/3ygdkgv,"Mountain View, CA",,"10,000+",more than $10B (USD),Our mission is to organize the world’s information and make it universally accessible and useful. ,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/fff4be3829cee39e477a518f55475f44,https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/56b1f27b69e0e2c02b8e9ad6e5fce05f,Sundar Pichai,https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/417a5815642490eb9a47ed7970a26c97
indeed,https://uk.indeed.com/viewjob?jk=08cd49fcafb928e7,https://careers.google.com/jobs/results/75554242070225606-software-engineer/,"Software Engineer, Tensor Processing Units Compiler",Google,"London, ENG, GB",,2024-04-08,,,,,False,,"### **Minimum qualifications:**

* Bachelor’s degree or equivalent practical experience.
* Candidates will typically have 3 years of experience testing, maintaining, or launching software products, and 1 year of experience with software design and architecture.
* Typically have 2 years of experience working with CUDA C++ application development and 1 year of experience with Native Code, Just-In-Time (JIT), Cross, Source-to-Source or any other type of compilers.
* Typically have 2 years of experience with data structures or algorithms, with experience with machine learning algorithms and tools (e.g. TensorFlow), artificial intelligence, deep learning, or natural language processing.

  

### **Preferred qualifications:**

* Master's degree or PhD in Computer Science or related technical fields.
* Experience with debugging correctness and performance issues at all levels of the stack.
* Experience with performance, large-scale systems data analysis, visualization tools, and/or debugging.
* Experience with optimizations in mid-level and low-level architecture.
* Experience with hardware/software co-design.
* GPU experience integrating low-level CUDA work into higher-level frameworks (TF, JAX, PyTorch).

**About the job**
-----------------


Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.



Our team builds the compiler which enables Tensor Processing Units (TPUs), Google's in-house custom designed processor, to accelerate machine learning and other scientific computing workloads for both internal Google customers and external Cloud customers. The team offers opportunities up and down the compiler stack, working on Low Level Virtual Machine as well as the Multi-Level Intermediate Representation middle-end.  

  

In this role, you'll be working on the MLIR/LLVM based TPU compiler for TPUs. You will support new workloads, optimize for new models and new characteristics, as well as support new TPU hardware across multiple generations.


Google Cloud accelerates organizations’ ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology – all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.

**Responsibilities**
--------------------

* Contribute to a compiler for a novel processor designed to accelerate machine learning workloads. Target and compile high-performance implementations of operations at a distributed scale.
* Work closely with users of TPUs to improve performance/efficiency and hardware designers to co-design future processors.
* Investigating high-level representations to effectively program large-scale, distributed, and hetereogeneous systems.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",https://uk.indeed.com/cmp/Google,http://goo.gle/3ygdkgv,"Mountain View, CA",,"10,000+",more than $10B (USD),Our mission is to organize the world’s information and make it universally accessible and useful. ,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/fff4be3829cee39e477a518f55475f44,https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/56b1f27b69e0e2c02b8e9ad6e5fce05f,Sundar Pichai,https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/417a5815642490eb9a47ed7970a26c97
site,job_url,job_url_direct,title,company,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,emails,description,company_url,company_url_direct,company_addresses,company_industry,company_num_employees,company_revenue,company_description,logo_photo_url,banner_photo_url,ceo_name,ceo_photo_url
indeed,https://uk.indeed.com/viewjob?jk=7b9d67f79e536098,https://www.client-server.com/job/full-stack-developer-f-c-net-typescript-1,Full Stack Developer F# C# .Net TypeScript,Client Server,"London, ENG, GB",,2024-04-09,,,,,True,,"Full Stack Developer / Engineer (F# C# .Net TypeScript React) London to £140k+
  
Do you have expertise with .Net, enjoy working with a range of range of programming languages across the full tech stack?
  
You could be working on complex and interesting real-time systematic trading systems, with complex problem solving and continual learning and self-development opportunities at a Swiss based Asset Manager that is expanding its UK presence and tech team.
  
As a Full Stack Developer you'll be designing and developing new capabilities in trading, data and research, collaborating as part of a small team where your contributions will have a real impact. You'll be using F# within a .Net environment along with TypeScript and React on the client side, to expand the company's trade execution platform with new instruments and venues, developing new trading capabilities, all the technology is proprietary with a focus on writing computational, efficient low latency code.
  
  

**Location / WFH:**  

You'll join accomplished colleagues in the London office with flexibility to work from home one day a week (there are also flexible start and finish times).
  
  

**About you:**  

You have software engineering expertise, with an advanced knowledge of C# .Net, ideally with F# experience and happy to use this going forward
  
You also have front end development skills with JavaScript, TypeScript and React.js
  
You have a thorough understanding of Computer Science fundamentals such as OOP, Data Structures, Design Patterns, Algorithms
  
You're degree educated in Computer Science or other relevant discipline, having gained a 2.1 or above from a top tier university
  
  

**What's in it for you:**  

**As a Full Stack Developer you will earn a competitive package:**
  
Salary to £140k
  
Bonus (c25%), discretionary
  
26 days holiday (in addition to Bank Holidays)
  
Pension
  
Interesting work with autonomy and excellent career growth opportunities as the company scales
  
Apply now to find out more about this Full Stack Developer / Engineer (F# C# .Net TypeScript React) opportunity.
  
At Client Server we believe in a diverse workplace that allows people to play to their strengths and continually learn. We're an equal opportunities employer whose people come from all walks of life and will never discriminate based on race, colour, religion, sex, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. The clients we work with share our values.",https://uk.indeed.com/cmp/Client-Server-1,https://www.client-server.com/,"London, England",,51 to 200,Decline to state,Client Server is the leading technology recruitment consultancy.,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/8e2ee917568035e9b81e77e848828077,https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/32a45f6f960432232501a9bfdf9a2b68,Nick Boulton,https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/4b58d8afb484dc1fcaebc6cdbc6afd80
indeed,https://uk.indeed.com/viewjob?jk=08488b3f4ba1e119,https://www.client-server.com/job/software-developer-c-python-buy-side-2,Software Developer C++ Python - Buy Side,Client Server,"London, ENG, GB",,2024-04-09,,,,,True,,"Software Developer / Engineer (Quantitative C++ Python Linux) London / WFH to £160k
  
Do you have expertise with C++ / Python backend development? You could be progressing your career working on complex, real-time systems at a global Hedge Fund in a senior, hands-on role with continual learning, development and problem solving opportunities.
  
As a Software Developer you'll collaborate with a small engineering team and with Portfolio Managers to build, operate and evolve the technical stack; you'll be developing modular systems to tackle a range of challenges such as data pipelines, intraday signal research tools, high frequency trading and back-testing, real-time market data systems, monitoring systems as well as data storage, times series data and event correlation.
  
You'll work across the full development lifecycle, from requirements analysis through to solution delivery; there's lots of problem solving within a fast paced environment.
  
  

**Location / WFH:**  

You'll join a highly talented team in the London office three days a week with flexibility to work from home the other two days.
  
  

**Requirements:**  

You have expertise with C++ and are fluent with Python
  
You have experience of designing and developing research and live trading infrastructure at a buy-side firm (i.e. Hedge Fund or trading company), including experience in Futures and FX
  
You have a strong knowledge of Linux OS / Systems Administration
  
You have a good understanding of computer architecture, databases, real-time systems, distributed computing, OOP, Data Structures, Design Patterns, Algorithms
  
You're collaborative with excellent English language communication skills
  
You are degree educated, likely to MSc / PhD level - Computer Science or similar discipline
  
  

**Salary & benefits:**  

As a Software Developer / Engineer you will earn a competitive salary (to £160k) plus significant bonus and benefits package (c100%).
  
Apply now to find out more about this Software Developer / Engineer (Quantitative C++ Python Linux) opportunity.
  
At Client Server we believe in a diverse workplace that allows people to play to their strengths and continually learn. We're an equal opportunities employer whose people come from all walks of life and will never discriminate based on race, colour, religion, sex, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. The clients we work with share our values.",https://uk.indeed.com/cmp/Client-Server-1,https://www.client-server.com/,"London, England",,51 to 200,Decline to state,Client Server is the leading technology recruitment consultancy.,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/8e2ee917568035e9b81e77e848828077,https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/32a45f6f960432232501a9bfdf9a2b68,Nick Boulton,https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/4b58d8afb484dc1fcaebc6cdbc6afd80
